incident_id,department_id,reported_by_doctor_id,reported_by_nurse_id,incident_type,severity,incident_date,incident_time,description,action_taken,status
INC00001,DEP004,DOC0004,NUR0210,Patient Fall,Critical,2025-12-15,15:59:02,Consectetur eaque occaecati rerum dolorem deserunt. Maxime maxime mollitia suscipit error quasi porro.,Sint nemo asperiores veniam reiciendis dicta ex magni officia est.,Closed
INC00002,DEP001,DOC0061,NUR0221,Patient Complaint,High,2025-09-25,20:43:16,Fugit doloribus illum cumque error omnis.,Eos dolor ratione velit omnis culpa saepe incidunt omnis animi.,Open
INC00003,DEP003,DOC0017,NUR0016,Data Privacy Incident,Low,2025-11-29,10:36:09,Amet cumque illo reiciendis.,Tempora dicta quos non ab.,Resolved
INC00004,DEP005,DOC0008,NUR0149,Equipment Failure,High,2025-03-07,17:09:59,Aliquid labore molestias ducimus sapiente. Libero libero aliquam recusandae.,Nam amet dolor dolorum rem occaecati vero placeat eaque voluptatem.,Resolved
INC00005,DEP009,DOC0036,NUR0180,Laboratory Error,Critical,2025-08-08,04:17:14,Voluptas voluptatibus ex molestias neque.,Dolore voluptates nisi provident voluptatem ullam.,Closed
INC00006,DEP001,DOC0084,NUR0160,Medication Error,Low,2025-02-16,21:23:31,Vitae occaecati nisi tempora.,Ipsa officiis rerum quisquam perferendis aspernatur veritatis exercitationem occaecati.,Open
INC00007,DEP009,DOC0088,NUR0014,Patient Fall,Critical,2024-11-01,17:51:34,Rem veritatis quaerat quis aut.,Amet fuga similique debitis porro impedit maiores facilis neque quam minus.,Under Investigation
INC00008,DEP002,DOC0076,NUR0107,Needle Stick Injury,High,2025-10-10,02:19:11,Officia pariatur veniam vel.,Eius laborum nihil assumenda asperiores dolorem sequi libero.,Open
INC00009,DEP008,DOC0023,NUR0028,Wrong Patient Identification,High,2025-06-19,19:55:16,Itaque in eligendi cum. Velit magnam omnis iure totam dignissimos voluptatem.,Eius numquam qui eveniet soluta illo placeat eveniet nemo.,Under Investigation
INC00010,DEP009,DOC0036,NUR0141,Needle Stick Injury,Medium,2025-07-30,07:17:03,Laboriosam ex laudantium placeat laudantium sequi.,Fugiat explicabo officia culpa rem.,Under Investigation
INC00011,DEP009,DOC0057,NUR0234,Patient Complaint,High,2025-01-10,11:55:05,Occaecati consequuntur alias commodi id. Numquam nostrum qui error consequatur deleniti ex.,Vel assumenda perferendis nam aut ullam ipsum perspiciatis hic repudiandae velit.,Open
INC00012,DEP009,DOC0029,NUR0051,Medication Error,Low,2026-03-15,07:39:25,Similique dolorum cumque aspernatur saepe itaque. Veniam quisquam doloribus deleniti aliquam id sunt.,Distinctio tempore culpa expedita impedit libero rem reiciendis expedita temporibus.,Closed
INC00013,DEP006,DOC0031,NUR0040,Wrong Patient Identification,Critical,2025-02-25,14:39:38,Explicabo minima officiis unde officiis illo voluptate.,Unde sit dolore temporibus mollitia repellat.,Closed
INC00014,DEP007,DOC0047,NUR0201,Laboratory Error,High,2026-06-21,13:12:09,Blanditiis quasi ducimus deserunt at voluptatum harum.,Veritatis repellat nesciunt nobis maxime in aliquid voluptatem nam fugiat.,Closed
INC00015,DEP005,DOC0096,NUR0158,Medication Error,High,2024-10-27,07:38:38,Aut suscipit minima labore similique.,Ea inventore hic laborum provident officiis quos perferendis.,Closed
INC00016,DEP008,DOC0022,NUR0022,Laboratory Error,High,2025-06-22,02:14:56,Porro modi magnam non ratione. Rem nostrum in eius ducimus quasi.,Consequuntur sunt eaque vel aperiam.,Open
INC00017,DEP010,DOC0009,NUR0239,Delay in Treatment,Critical,2025-07-01,20:21:06,Perferendis dolorum dolorum corrupti.,Suscipit maxime amet deserunt quisquam ut fugiat adipisci aut voluptate.,Resolved
INC00018,DEP005,DOC0064,NUR0030,Data Privacy Incident,High,2026-01-25,21:24:00,Ea autem recusandae nostrum consectetur. Qui voluptate atque quae.,Sapiente ipsa ab officia provident consequuntur maiores ipsum ab id dicta.,Open
INC00019,DEP006,DOC0051,NUR0230,Patient Fall,Medium,2024-07-15,19:10:42,Ipsum labore explicabo.,Modi velit est saepe atque ipsa.,Closed
INC00020,DEP001,DOC0089,NUR0048,Delay in Treatment,Critical,2025-10-16,14:20:34,Eos praesentium exercitationem labore accusantium vitae fugiat. Porro dolore sapiente cum assumenda fugit corrupti.,Commodi veniam odit ipsa quos minus totam officia eaque at.,Under Investigation
INC00021,DEP009,DOC0011,NUR0021,Laboratory Error,Low,2024-12-18,04:34:55,Ducimus dignissimos asperiores nam accusamus hic consequuntur explicabo.,Alias dolores quaerat harum in.,Open
INC00022,DEP005,DOC0064,NUR0171,Wrong Patient Identification,Medium,2025-07-11,07:58:46,Cum officiis iste amet. Eum odit minima debitis recusandae ab fuga.,Modi eum blanditiis debitis veritatis.,Open
INC00023,DEP009,DOC0036,NUR0089,Delay in Treatment,Medium,2025-07-23,14:44:51,Distinctio mollitia accusamus illum.,Corporis quidem sapiente harum non eos hic inventore.,Under Investigation
INC00024,DEP010,DOC0009,NUR0235,Patient Fall,Low,2026-01-31,01:27:04,Debitis consequuntur molestias earum eveniet.,Repudiandae alias est harum odio ab.,Resolved
INC00025,DEP003,DOC0017,NUR0016,Patient Fall,High,2025-09-03,07:53:45,Aliquid consequatur est iusto accusantium iste ex quas. Nisi perspiciatis laboriosam repellendus tenetur ad.,Neque mollitia distinctio quisquam inventore in dicta libero exercitationem.,Open
INC00026,DEP007,DOC0072,NUR0201,Medication Error,Critical,2024-10-17,03:06:59,Eius necessitatibus nam commodi atque veniam minima.,In corrupti veritatis molestias delectus.,Resolved
